0,1,2,3,4
Argentina,1 - 4,Croatia,7,23
Argentina,5 - 2,Nigeria,7,-39
Island,1 - 0,Croatia,7,40
Island,3 - 1,Nigeria,7,-25
Croatia,1 - 1,Nigeria,7,8
Brazil,3 - 1,Switzerland,7,11
Brazil,5 - 0,Costa Rica,7,24
Brazil,3 - 1,Serbia,7,-43
Switzerland,4 - 0,Costa Rica,7,44
Switzerland,3 - 0,Serbia,7,-26
Costa Rica,1 - 2,Serbia,7,9
Germany,2 - 2,Mexico,7,10
Germany,3 - 2,Sweden,7,29
Germany,0 - 0,South Korea,7,-42
Mexico,0 - 2,Sweden,7,41
Mexico,2 - 2,South Korea,7,-28
Sweden,2 - 1,South Korea,7,12
Belgium,2 - 0,Panama,7,13
Belgium,3 - 3,Tunesia,7,27
Belgium,1 - 1,England,7,-45
Panama,3 - 2,Tunesia,7,47
Panama,0 - 2,England,7,-30
Tunesia,1 - 2,England,7,14
Poland,0 - 1,Senegal,7,16
Poland,0 - 1,Colombia,7,32
Poland,0 - 1,Japan,7,-48
Senegal,1 - 2,Colombia,7,46
Senegal,2 - 2,Japan,7,-31
Colombia,1 - 0,Japan,7,15
Russia,2 - 1,Saudi Arabia,8,1
Russia,1 - 2,Egypt,8,17
Russia,0 - 2,Uruguay,8,-34
Saudi Arabia,0 - 1,Egypt,8,33
Saudi Arabia,0 - 2,Uruguay,8,-19
Egypt,0 - 1,Uruguay,8,2
Portugal,2 - 0,Spain,8,4
Portugal,2 - 2,Morocco,8,18
Portugal,3 - 0,Iran,8,-35
Spain,5 - 1,Morocco,8,36
Spain,2 - 1,Iran,8,-20
Morocco,0 - 0,Iran,8,3
France,3 - 0,Australia,8,5
France,2 - 3,Peru,8,22
France,3 - 1,Denmark,8,-38
Australia,1 - 3,Peru,8,37
Australia,1 - 1,Denmark,8,-21
Peru,0 - 1,Denmark,8,7
Argentina,1 - 1,Island,8,6
Argentina,1 - 2,Croatia,8,23
Argentina,2 - 2,Nigeria,8,-39
Island,0 - 4,Croatia,8,40
Island,2 - 0,Nigeria,8,-25
Croatia,4 - 0,Nigeria,8,8
Brazil,2 - 0,Switzerland,8,11
Brazil,2 - 0,Costa Rica,8,24
Brazil,1 - 2,Serbia,8,-43
Switzerland,3 - 0,Costa Rica,8,44
Switzerland,0 - 0,Serbia,8,-26
Costa Rica,0 - 1,Serbia,8,9
Germany,2 - 2,Mexico,8,10
Germany,1 - 0,Sweden,8,29
Germany,5 - 3,South Korea,8,-42
Mexico,1 - 1,Sweden,8,41
Mexico,1 - 2,South Korea,8,-28
Sweden,2 - 0,South Korea,8,12
Belgium,1 - 1,Panama,8,13
Belgium,2 - 3,Tunesia,8,27
Belgium,2 - 0,England,8,-45
Panama,0 - 1,Tunesia,8,47
Panama,1 - 2,England,8,-30
Tunesia,2 - 2,England,8,14
Poland,1 - 1,Senegal,8,16
Poland,1 - 1,Colombia,8,32
Poland,3 - 1,Japan,8,-48
Senegal,1 - 2,Colombia,8,46
Senegal,2 - 1,Japan,8,-31
Colombia,6 - 0,Japan,8,15
Russia,1 - 1,Saudi Arabia,9,1
Russia,2 - 1,Egypt,9,17
Russia,0 - 1,Uruguay,9,-34
Saudi Arabia,2 - 3,Egypt,9,33
Saudi Arabia,0 - 0,Uruguay,9,-19
Egypt,1 - 2,Uruguay,9,2
Portugal,1 - 1,Spain,9,4
Portugal,4 - 1,Morocco,9,18
Portugal,1 - 0,Iran,9,-35
Spain,3 - 0,Morocco,9,36
Spain,4 - 1,Iran,9,-20
Morocco,1 - 2,Iran,9,3
France,5 - 1,Australia,9,5
France,1 - 1,Peru,9,22
France,2 - 0,Denmark,9,-38
Australia,3 - 2,Peru,9,37
Australia,0 - 3,Denmark,9,-21
Peru,1 - 2,Denmark,9,7
Argentina,3 - 0,Island,9,6
Argentina,5 - 1,Croatia,9,23
Argentina,0 - 2,Nigeria,9,-39
Island,3 - 1,Croatia,9,40
Island,2 - 2,Nigeria,9,-25
Croatia,5 - 0,Nigeria,9,8
Brazil,0 - 1,Switzerland,9,11
Brazil,3 - 0,Costa Rica,9,24
Brazil,4 - 0,Serbia,9,-43
Switzerland,1 - 0,Costa Rica,9,44
Switzerland,1 - 1,Serbia,9,-26
Costa Rica,3 - 1,Serbia,9,9
Germany,4 - 1,Mexico,9,10
Germany,0 - 2,Sweden,9,29
Germany,2 - 1,South Korea,9,-42
Mexico,0 - 0,Sweden,9,41
Mexico,4 - 1,South Korea,9,-28
Sweden,1 - 3,South Korea,9,12
Belgium,4 - 1,Panama,9,13
Belgium,3 - 2,Tunesia,9,27
Belgium,1 - 6,England,9,-45
Panama,2 - 1,Tunesia,9,47
Panama,0 - 2,England,9,-30
Tunesia,0 - 6,England,9,14
Poland,2 - 3,Senegal,9,16
Poland,1 - 4,Colombia,9,32
Poland,2 - 2,Japan,9,-48
Senegal,1 - 0,Colombia,9,46
Senegal,1 - 1,Japan,9,-31
Colombia,3 - 1,Japan,9,15
Russia,3 - 0,Saudi Arabia,10,1
Russia,1 - 2,Egypt,10,17
Russia,0 - 2,Uruguay,10,-34
Saudi Arabia,1 - 3,Egypt,10,33
Saudi Arabia,2 - 4,Uruguay,10,-19
Egypt,1 - 1,Uruguay,10,2
Portugal,1 - 3,Spain,10,4
Portugal,1 - 0,Morocco,10,18
Portugal,1 - 0,Iran,10,-35
Spain,3 - 0,Morocco,10,36
Spain,2 - 0,Iran,10,-20
Morocco,2 - 3,Iran,10,3
France,1 - 0,Australia,10,5
France,0 - 1,Peru,10,22
France,2 - 2,Denmark,10,-38
Australia,2 - 1,Peru,10,37
Australia,0 - 0,Denmark,10,-21
Peru,0 - 2,Denmark,10,7
Argentina,0 - 0,Island,10,6
Argentina,1 - 0,Croatia,10,23
Argentina,0 - 0,Nigeria,10,-39
Island,0 - 1,Croatia,10,40
Island,2 - 2,Nigeria,10,-25
Croatia,1 - 0,Nigeria,10,8
Brazil,3 - 1,Switzerland,10,11
Brazil,1 - 2,Costa Rica,10,24
Brazil,2 - 0,Serbia,10,-43
Switzerland,1 - 1,Costa Rica,10,44
Switzerland,1 - 1,Serbia,10,-26
Costa Rica,1 - 2,Serbia,10,9
Germany,4 - 1,Mexico,10,10
Germany,3 - 0,Sweden,10,29
Germany,2 - 0,South Korea,10,-42
Mexico,1 - 0,Sweden,10,41
Mexico,1 - 3,South Korea,10,-28
Sweden,3 - 1,South Korea,10,12
Belgium,1 - 0,Panama,10,13
Belgium,0 - 0,Tunesia,10,27
Belgium,1 - 4,England,10,-45
Panama,3 - 2,Tunesia,10,47
Panama,0 - 3,England,10,-30
Tunesia,1 - 4,England,10,14
Poland,0 - 3,Senegal,10,16
Poland,3 - 2,Colombia,10,32
Poland,3 - 2,Japan,10,-48
Senegal,0 - 2,Colombia,10,46
Senegal,2 - 2,Japan,10,-31
Colombia,3 - 3,Japan,10,15
Russia,3 - 1,Saudi Arabia,11,1
Russia,1 - 1,Egypt,11,17
Russia,0 - 1,Uruguay,11,-34
Saudi Arabia,0 - 1,Egypt,11,33
Saudi Arabia,2 - 4,Uruguay,11,-19
Egypt,1 - 2,Uruguay,11,2
Portugal,0 - 2,Spain,11,4
Portugal,2 - 2,Morocco,11,18
Portugal,1 - 0,Iran,11,-35
Spain,3 - 0,Morocco,11,36
Spain,3 - 1,Iran,11,-20
Morocco,1 - 4,Iran,11,3
France,4 - 0,Australia,11,5
France,3 - 2,Peru,11,22
France,3 - 2,Denmark,11,-38
Australia,0 - 0,Peru,11,37
Australia,0 - 0,Denmark,11,-21
Peru,0 - 1,Denmark,11,7
Argentina,0 - 2,Island,11,6
Argentina,3 - 0,Croatia,11,23
Argentina,5 - 2,Nigeria,11,-39
Island,1 - 3,Croatia,11,40
Island,2 - 0,Nigeria,11,-25
Croatia,1 - 0,Nigeria,11,8
Brazil,2 - 0,Switzerland,11,11
Brazil,3 - 2,Costa Rica,11,24
Brazil,2 - 1,Serbia,11,-43
Switzerland,3 - 3,Costa Rica,11,44
Switzerland,3 - 2,Serbia,11,-26
Costa Rica,0 - 1,Serbia,11,9
Germany,3 - 0,Mexico,11,10
Germany,2 - 3,Sweden,11,29
Germany,4 - 2,South Korea,11,-42
Mexico,0 - 1,Sweden,11,41
Mexico,1 - 2,South Korea,11,-28
Sweden,1 - 3,South Korea,11,12
Belgium,3 - 0,Panama,11,13
Belgium,3 - 1,Tunesia,11,27
Belgium,1 - 4,England,11,-45
Panama,1 - 3,Tunesia,11,47
Panama,1 - 3,England,11,-30
Tunesia,0 - 3,England,11,14
Poland,1 - 0,Senegal,11,16
Poland,1 - 1,Colombia,11,32
Poland,3 - 2,Japan,11,-48
Senegal,1 - 1,Colombia,11,46
Senegal,2 - 0,Japan,11,-31
Colombia,3 - 0,Japan,11,15
Russia,1 - 0,Saudi Arabia,12,1
Russia,2 - 0,Egypt,12,17
Russia,1 - 2,Uruguay,12,-34
Saudi Arabia,1 - 1,Egypt,12,33
Saudi Arabia,0 - 3,Uruguay,12,-19
Egypt,1 - 2,Uruguay,12,2
Portugal,0 - 1,Spain,12,4
Portugal,3 - 0,Morocco,12,18
Portugal,5 - 0,Iran,12,-35
Spain,1 - 1,Morocco,12,36
Spain,4 - 0,Iran,12,-20
Morocco,2 - 2,Iran,12,3
France,3 - 1,Australia,12,5
France,2 - 1,Peru,12,22
France,4 - 0,Denmark,12,-38
Australia,0 - 1,Peru,12,37
Australia,1 - 2,Denmark,12,-21
Peru,3 - 2,Denmark,12,7
Argentina,3 - 0,Island,12,6
Argentina,0 - 1,Croatia,12,23
Argentina,2 - 3,Nigeria,12,-39
Island,0 - 3,Croatia,12,40
Island,1 - 1,Nigeria,12,-25
Croatia,2 - 2,Nigeria,12,8
Brazil,1 - 2,Switzerland,12,11
Brazil,2 - 1,Costa Rica,12,24
Brazil,5 - 1,Serbia,12,-43
Switzerland,2 - 0,Costa Rica,12,44
Switzerland,0 - 3,Serbia,12,-26
Costa Rica,2 - 0,Serbia,12,9
Germany,1 - 3,Mexico,12,10
Germany,2 - 0,Sweden,12,29
Germany,6 - 1,South Korea,12,-42
Mexico,2 - 2,Sweden,12,41
Mexico,1 - 0,South Korea,12,-28
Sweden,3 - 1,South Korea,12,12
Belgium,1 - 0,Panama,12,13
Belgium,3 - 2,Tunesia,12,27
Belgium,1 - 2,England,12,-45
Panama,2 - 2,Tunesia,12,47
Panama,1 - 2,England,12,-30
Tunesia,1 - 5,England,12,14
Poland,1 - 1,Senegal,12,16
Poland,1 - 3,Colombia,12,32
Poland,2 - 0,Japan,12,-48
Senegal,1 - 0,Colombia,12,46
Senegal,1 - 1,Japan,12,-31
Colombia,4 - 0,Japan,12,15
Russia,2 - 5,Saudi Arabia,13,1
Russia,2 - 0,Egypt,13,17
Russia,0 - 1,Uruguay,13,-34
Saudi Arabia,2 - 2,Egypt,13,33
Saudi Arabia,1 - 2,Uruguay,13,-19
Egypt,1 - 1,Uruguay,13,2
Portugal,0 - 2,Spain,13,4
Portugal,1 - 1,Morocco,13,18
Portugal,3 - 0,Iran,13,-35
Spain,1 - 2,Morocco,13,36
Spain,1 - 1,Iran,13,-20
Morocco,0 - 0,Iran,13,3
France,3 - 2,Australia,13,5
France,1 - 0,Peru,13,22
France,0 - 1,Denmark,13,-38
Australia,2 - 1,Peru,13,37
Australia,1 - 0,Denmark,13,-21
Peru,1 - 0,Denmark,13,7
Argentina,3 - 0,Island,13,6
Argentina,1 - 1,Croatia,13,23
Argentina,2 - 2,Nigeria,13,-39
Island,2 - 3,Croatia,13,40
Island,1 - 1,Nigeria,13,-25
Croatia,0 - 0,Nigeria,13,8
Brazil,1 - 1,Switzerland,13,11
Brazil,3 - 0,Costa Rica,13,24
Brazil,2 - 1,Serbia,13,-43
Switzerland,1 - 1,Costa Rica,13,44
Switzerland,0 - 2,Serbia,13,-26
Costa Rica,1 - 2,Serbia,13,9
Germany,2 - 1,Mexico,13,10
Germany,2 - 1,Sweden,13,29
Germany,1 - 2,South Korea,13,-42
Mexico,1 - 2,Sweden,13,41
Mexico,0 - 0,South Korea,13,-28
Sweden,1 - 0,South Korea,13,12
Belgium,1 - 0,Panama,13,13
Belgium,3 - 1,Tunesia,13,27
Belgium,1 - 1,England,13,-45
Panama,0 - 1,Tunesia,13,47
Panama,1 - 2,England,13,-30
Tunesia,0 - 1,England,13,14
Poland,0 - 1,Senegal,13,16
Poland,2 - 2,Colombia,13,32
Poland,0 - 2,Japan,13,-48
Senegal,0 - 3,Colombia,13,46
Senegal,0 - 1,Japan,13,-31
Colombia,3 - 1,Japan,13,15
Russia,5 - 4,Saudi Arabia,14,1
Russia,1 - 3,Egypt,14,17
Russia,1 - 2,Uruguay,14,-34
Saudi Arabia,1 - 2,Egypt,14,33
Saudi Arabia,0 - 3,Uruguay,14,-19
Egypt,1 - 3,Uruguay,14,2
Portugal,1 - 3,Spain,14,4
Portugal,0 - 1,Morocco,14,18
Portugal,2 - 0,Iran,14,-35
Spain,3 - 0,Morocco,14,36
Spain,2 - 0,Iran,14,-20
Morocco,1 - 1,Iran,14,3
France,3 - 1,Australia,14,5
France,2 - 1,Peru,14,22
France,1 - 4,Denmark,14,-38
Australia,2 - 1,Peru,14,37
Australia,2 - 1,Denmark,14,-21
Peru,1 - 1,Denmark,14,7
Argentina,2 - 0,Island,14,6
Argentina,0 - 1,Croatia,14,23
Argentina,3 - 1,Nigeria,14,-39
Island,0 - 3,Croatia,14,40
Island,1 - 2,Nigeria,14,-25
